[0.000000]	            SB_batch	Wait for tasks
[4669.000000]	            SB_batch	Receive "task16" from "Batch1"
[4951.000000]	       external_load	Send task17 to "Batch1"
[4951.000000]	            SB_batch	Receive "task17" from "Batch1"
[5047.000000]	    Resource manager	Attach Supervisor0
[5047.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[5047.000000]	            SB_batch	task8 done
[5047.000000]	    Resource manager	Detach Supervisor1
[5047.000000]	         Supervisor1	Processing job task6
[5237.000000]	       external_load	Send task18 to "Batch1"
[5237.000000]	            SB_batch	Receive "task18" from "Batch1"
[5552.000000]	       external_load	Send task19 to "Batch1"
[5552.000000]	            SB_batch	Receive "task19" from "Batch1"
[5833.000000]	       external_load	Send task20 to "Batch1"
[5833.000000]	            SB_batch	Receive "task20" from "Batch1"
[6043.000000]	    Resource manager	Attach Supervisor1
[6043.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[6043.000000]	            SB_batch	task6 done
[6043.000000]	    Resource manager	Detach Supervisor0
[6043.000000]	         Supervisor0	Processing job task7
[6153.000000]	       external_load	Send task21 to "Batch1"
[6153.000000]	            SB_batch	Receive "task21" from "Batch1"
[6470.000000]	       external_load	Send task22 to "Batch1"
[6470.000000]	            SB_batch	Receive "task22" from "Batch1"
[6777.000000]	       external_load	Send task23 to "Batch1"
[6777.000000]	            SB_batch	Receive "task23" from "Batch1"
[6841.000000]	    Resource manager	Attach Supervisor0
[6841.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[6841.000000]	            SB_batch	task7 done
[6841.000000]	    Resource manager	Detach Supervisor1
[6841.000000]	    Resource manager	Detach Supervisor0
[6841.000000]	         Supervisor1	Processing job task9
[6841.000000]	    Resource manager	Detach Supervisor2
[6841.000000]	         Supervisor0	Processing job task17
[6841.000000]	         Supervisor2	HELLO!
[6841.000000]	         Supervisor2	Processing job task11
[7093.000000]	       external_load	Send task24 to "Batch1"
[7093.000000]	            SB_batch	Receive "task24" from "Batch1"
[7407.000000]	       external_load	Send task25 to "Batch1"
[7407.000000]	            SB_batch	Receive "task25" from "Batch1"
[7683.000000]	       external_load	Send task26 to "Batch1"
[7683.000000]	            SB_batch	Receive "task26" from "Batch1"
[7954.000000]	    Resource manager	Attach Supervisor0
[7954.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[7954.000000]	            SB_batch	task17 done
[7963.000000]	       external_load	Send task27 to "Batch1"
[7963.000000]	            SB_batch	Receive "task27" from "Batch1"
[7980.000000]	    Resource manager	Attach Supervisor1
[7980.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[7980.000000]	            SB_batch	task9 done
[7980.000000]	    Resource manager	Detach Supervisor0
[7980.000000]	         Supervisor0	Processing job task10
[8124.000000]	    Resource manager	Attach Supervisor2
[8124.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[8124.000000]	            SB_batch	task11 done
[8124.000000]	    Resource manager	Detach Supervisor1
[8124.000000]	         Supervisor1	Processing job task14
[8295.000000]	       external_load	Send task28 to "Batch1"
[8295.000000]	            SB_batch	Receive "task28" from "Batch1"
[8615.000000]	       external_load	Send task29 to "Batch1"
[8615.000000]	            SB_batch	Receive "task29" from "Batch1"
[8847.000000]	    Resource manager	Attach Supervisor0
[8847.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[8847.000000]	            SB_batch	task10 done
[8847.000000]	    Resource manager	Detach Supervisor2
[8847.000000]	    Resource manager	Detach Supervisor0
[8847.000000]	         Supervisor2	Processing job task12
[8847.000000]	         Supervisor0	Processing job task18
[8943.000000]	       external_load	Send task30 to "Batch1"
[8943.000000]	            SB_batch	Receive "task30" from "Batch1"
[8976.000000]	    Resource manager	Attach Supervisor1
[8976.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[8976.000000]	            SB_batch	task14 done
[8976.000000]	    Resource manager	Detach Supervisor1
[8976.000000]	         Supervisor1	Processing job task19
[9234.000000]	       external_load	Send task31 to "Batch1"
[9234.000000]	            SB_batch	Receive "task31" from "Batch1"
[9485.000000]	       external_load	Send task32 to "Batch1"
[9485.000000]	            SB_batch	Receive "task32" from "Batch1"
[9792.000000]	       external_load	Send task33 to "Batch1"
[9792.000000]	            SB_batch	Receive "task33" from "Batch1"
[10038.000000]	    Resource manager	Attach Supervisor2
[10038.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[10038.000000]	            SB_batch	task12 done
[10038.000000]	    Resource manager	Detach Supervisor2
[10038.000000]	         Supervisor2	Processing job task13
[10065.000000]	    Resource manager	Attach Supervisor1
[10065.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[10065.000000]	            SB_batch	task19 done
[10065.000000]	    Resource manager	Detach Supervisor1
[10065.000000]	         Supervisor1	Processing job task24
[10121.000000]	       external_load	Send task34 to "Batch1"
[10121.000000]	            SB_batch	Receive "task34" from "Batch1"
[10444.000000]	       external_load	Send task35 to "Batch1"
[10444.000000]	            SB_batch	Receive "task35" from "Batch1"
[10533.000000]	    Resource manager	Attach Supervisor0
[10533.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[10533.000000]	            SB_batch	task18 done
[10533.000000]	    Resource manager	Detach Supervisor0
[10533.000000]	         Supervisor0	Processing job task31
[10732.000000]	       external_load	Send task36 to "Batch1"
[10732.000000]	            SB_batch	Receive "task36" from "Batch1"
[11044.000000]	       external_load	Send task37 to "Batch1"
[11044.000000]	            SB_batch	Receive "task37" from "Batch1"
[11273.000000]	    Resource manager	Attach Supervisor1
[11273.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[11273.000000]	            SB_batch	task24 done
[11273.000000]	    Resource manager	Detach Supervisor1
[11273.000000]	         Supervisor1	Processing job task36
[11344.000000]	       external_load	Send task38 to "Batch1"
[11344.000000]	            SB_batch	Receive "task38" from "Batch1"
[11486.000000]	    Resource manager	Attach Supervisor0
[11486.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[11486.000000]	            SB_batch	task31 done
[11486.000000]	    Resource manager	Detach Supervisor0
[11486.000000]	         Supervisor0	Processing job task38
[11575.000000]	    Resource manager	Attach Supervisor2
[11575.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[11575.000000]	            SB_batch	task13 done
[11575.000000]	    Resource manager	Detach Supervisor2
[11575.000000]	         Supervisor2	Processing job task15
[11641.000000]	       external_load	Send task39 to "Batch1"
[11641.000000]	            SB_batch	Receive "task39" from "Batch1"
[11952.000000]	       external_load	Send task40 to "Batch1"
[11952.000000]	            SB_batch	Receive "task40" from "Batch1"
[12234.000000]	       external_load	Send task41 to "Batch1"
[12234.000000]	            SB_batch	Receive "task41" from "Batch1"
[12349.000000]	    Resource manager	Attach Supervisor0
[12349.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[12349.000000]	            SB_batch	task38 done
[12535.000000]	       external_load	Send task42 to "Batch1"
[12535.000000]	            SB_batch	Receive "task42" from "Batch1"
[12551.000000]	    Resource manager	Attach Supervisor1
[12551.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[12551.000000]	            SB_batch	task36 done
[12551.000000]	    Resource manager	Detach Supervisor0
[12551.000000]	         Supervisor0	Processing job task40
[12839.000000]	       external_load	Send task43 to "Batch1"
[12839.000000]	            SB_batch	Receive "task43" from "Batch1"
[13136.000000]	       external_load	Send task44 to "Batch1"
[13136.000000]	            SB_batch	Receive "task44" from "Batch1"
[13215.000000]	    Resource manager	Attach Supervisor2
[13215.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[13215.000000]	            SB_batch	task15 done
[13215.000000]	    Resource manager	Detach Supervisor1
[13215.000000]	         Supervisor1	Processing job task16
[13346.000000]	    Resource manager	Attach Supervisor0
[13346.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[13346.000000]	            SB_batch	task40 done
[13346.000000]	    Resource manager	Detach Supervisor2
[13346.000000]	         Supervisor2	Processing job task44
[13434.000000]	       external_load	Send task45 to "Batch1"
[13434.000000]	            SB_batch	Receive "task45" from "Batch1"
[13741.000000]	       external_load	Send task46 to "Batch1"
[13741.000000]	            SB_batch	Receive "task46" from "Batch1"
[14033.000000]	    Resource manager	Attach Supervisor1
[14033.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[14033.000000]	            SB_batch	task16 done
[14033.000000]	    Resource manager	Detach Supervisor0
[14033.000000]	         Supervisor0	Processing job task20
[14035.000000]	       external_load	Send task47 to "Batch1"
[14035.000000]	            SB_batch	Receive "task47" from "Batch1"
[14339.000000]	       external_load	Send task48 to "Batch1"
[14339.000000]	            SB_batch	Receive "task48" from "Batch1"
[14628.000000]	       external_load	Send task49 to "Batch1"
[14628.000000]	            SB_batch	Receive "task49" from "Batch1"
[14679.000000]	    Resource manager	Attach Supervisor2
[14679.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[14679.000000]	            SB_batch	task44 done
[14679.000000]	    Resource manager	Detach Supervisor1
[14679.000000]	         Supervisor1	Processing job task49
[14900.000000]	    Resource manager	Attach Supervisor0
[14900.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[14900.000000]	            SB_batch	task20 done
[14900.000000]	    Resource manager	Detach Supervisor2
[14900.000000]	    Resource manager	Detach Supervisor0
[14900.000000]	         Supervisor2	Processing job task21
[14900.000000]	         Supervisor0	Processing job task23
[14938.000000]	       external_load	Send task50 to "Batch1"
[14938.000000]	            SB_batch	Receive "task50" from "Batch1"
[15250.000000]	       external_load	Send task51 to "Batch1"
[15250.000000]	            SB_batch	Receive "task51" from "Batch1"
[15470.000000]	    Resource manager	Attach Supervisor1
[15470.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[15470.000000]	            SB_batch	task49 done
[15555.000000]	    Resource manager	Attach Supervisor0
[15555.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[15555.000000]	            SB_batch	task23 done
[15555.000000]	    Resource manager	Detach Supervisor1
[15555.000000]	         Supervisor1	Processing job task25
[15575.000000]	       external_load	Send task52 to "Batch1"
[15575.000000]	            SB_batch	Receive "task52" from "Batch1"
[15868.000000]	       external_load	Send task53 to "Batch1"
[15868.000000]	            SB_batch	Receive "task53" from "Batch1"
[16173.000000]	       external_load	Send task54 to "Batch1"
[16173.000000]	            SB_batch	Receive "task54" from "Batch1"
[16495.000000]	       external_load	Send task55 to "Batch1"
[16495.000000]	            SB_batch	Receive "task55" from "Batch1"
[16651.000000]	    Resource manager	Attach Supervisor1
[16651.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[16651.000000]	            SB_batch	task25 done
[16651.000000]	    Resource manager	Detach Supervisor0
[16651.000000]	         Supervisor0	Processing job task30
[16668.000000]	    Resource manager	Attach Supervisor2
[16668.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[16668.000000]	            SB_batch	task21 done
[16811.000000]	       external_load	Send task56 to "Batch1"
[16811.000000]	            SB_batch	Receive "task56" from "Batch1"
[17113.000000]	       external_load	Send task57 to "Batch1"
[17113.000000]	            SB_batch	Receive "task57" from "Batch1"
[17356.000000]	    Resource manager	Attach Supervisor0
[17356.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[17356.000000]	            SB_batch	task30 done
[17356.000000]	    Resource manager	Detach Supervisor1
[17356.000000]	    Resource manager	Detach Supervisor2
[17356.000000]	         Supervisor1	Processing job task22
[17356.000000]	         Supervisor2	Processing job task53
[17413.000000]	       external_load	Send task58 to "Batch1"
[17413.000000]	            SB_batch	Receive "task58" from "Batch1"
[17713.000000]	       external_load	Send task59 to "Batch1"
[17713.000000]	            SB_batch	Receive "task59" from "Batch1"
[18022.000000]	       external_load	Send task60 to "Batch1"
[18022.000000]	            SB_batch	Receive "task60" from "Batch1"
[18214.000000]	    Resource manager	Attach Supervisor2
[18214.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[18214.000000]	            SB_batch	task53 done
[18342.000000]	       external_load	Send task61 to "Batch1"
[18342.000000]	            SB_batch	Receive "task61" from "Batch1"
[18601.000000]	    Resource manager	Attach Supervisor1
[18601.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[18601.000000]	            SB_batch	task22 done
[18601.000000]	    Resource manager	Detach Supervisor0
[18601.000000]	         Supervisor0	Processing job task26
[18637.000000]	       external_load	Send task62 to "Batch1"
[18637.000000]	            SB_batch	Receive "task62" from "Batch1"
[18931.000000]	       external_load	Send task63 to "Batch1"
[18931.000000]	            SB_batch	Receive "task63" from "Batch1"
[19220.000000]	       external_load	Send task64 to "Batch1"
[19220.000000]	            SB_batch	Receive "task64" from "Batch1"
[19537.000000]	       external_load	Send task65 to "Batch1"
[19537.000000]	            SB_batch	Receive "task65" from "Batch1"
[19819.000000]	       external_load	Send task66 to "Batch1"
[19819.000000]	            SB_batch	Receive "task66" from "Batch1"
[20110.000000]	    Resource manager	Attach Supervisor0
[20110.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[20110.000000]	            SB_batch	task26 done
[20110.000000]	    Resource manager	Detach Supervisor2
[20110.000000]	    Resource manager	Detach Supervisor1
[20110.000000]	         Supervisor2	Processing job task27
[20110.000000]	         Supervisor1	Processing job task57
[20112.000000]	       external_load	Send task67 to "Batch1"
[20112.000000]	            SB_batch	Receive "task67" from "Batch1"
[20420.000000]	       external_load	Send task68 to "Batch1"
[20420.000000]	            SB_batch	Receive "task68" from "Batch1"
[20683.000000]	       external_load	Send task69 to "Batch1"
[20683.000000]	            SB_batch	Receive "task69" from "Batch1"
[20787.000000]	    Resource manager	Attach Supervisor1
[20787.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[20787.000000]	            SB_batch	task57 done
[20787.000000]	    Resource manager	Detach Supervisor0
[20787.000000]	         Supervisor0	Processing job task66
[20980.000000]	       external_load	Send task70 to "Batch1"
[20980.000000]	            SB_batch	Receive "task70" from "Batch1"
[21272.000000]	       external_load	Send task71 to "Batch1"
[21272.000000]	            SB_batch	Receive "task71" from "Batch1"
[21437.000000]	    Resource manager	Attach Supervisor2
[21437.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[21437.000000]	            SB_batch	task27 done
[21437.000000]	    Resource manager	Detach Supervisor1
[21437.000000]	         Supervisor1	Processing job task28
[21566.000000]	       external_load	Send task72 to "Batch1"
[21566.000000]	            SB_batch	Receive "task72" from "Batch1"
[21869.000000]	       external_load	Send task73 to "Batch1"
[21869.000000]	            SB_batch	Receive "task73" from "Batch1"
[22127.000000]	    Resource manager	Attach Supervisor0
[22127.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[22127.000000]	            SB_batch	task66 done
[22178.000000]	       external_load	Send task74 to "Batch1"
[22178.000000]	            SB_batch	Receive "task74" from "Batch1"
[22475.000000]	       external_load	Send task75 to "Batch1"
[22475.000000]	            SB_batch	Receive "task75" from "Batch1"
[22797.000000]	       external_load	Send task76 to "Batch1"
[22797.000000]	            SB_batch	Receive "task76" from "Batch1"
[22886.000000]	    Resource manager	Attach Supervisor1
[22886.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[22886.000000]	            SB_batch	task28 done
[22886.000000]	    Resource manager	Detach Supervisor2
[22886.000000]	         Supervisor2	Processing job task29
[23089.000000]	       external_load	Send task77 to "Batch1"
[23089.000000]	            SB_batch	Receive "task77" from "Batch1"
[23413.000000]	       external_load	Send task78 to "Batch1"
[23413.000000]	            SB_batch	Receive "task78" from "Batch1"
[23698.000000]	       external_load	Send task79 to "Batch1"
[23698.000000]	            SB_batch	Receive "task79" from "Batch1"
[24011.000000]	       external_load	Send task80 to "Batch1"
[24011.000000]	            SB_batch	Receive "task80" from "Batch1"
[24285.000000]	       external_load	Send task81 to "Batch1"
[24285.000000]	            SB_batch	Receive "task81" from "Batch1"
[24589.000000]	    Resource manager	Attach Supervisor2
[24589.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[24589.000000]	            SB_batch	task29 done
[24589.000000]	    Resource manager	Detach Supervisor0
[24589.000000]	         Supervisor0	Processing job task32
[24615.000000]	       external_load	Send task82 to "Batch1"
[24615.000000]	            SB_batch	Receive "task82" from "Batch1"
[24917.000000]	       external_load	Send task83 to "Batch1"
[24917.000000]	            SB_batch	Receive "task83" from "Batch1"
[25210.000000]	       external_load	Send task84 to "Batch1"
[25210.000000]	            SB_batch	Receive "task84" from "Batch1"
[25464.000000]	    Resource manager	Attach Supervisor0
[25464.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[25464.000000]	            SB_batch	task32 done
[25464.000000]	    Resource manager	Detach Supervisor1
[25464.000000]	    Resource manager	Detach Supervisor2
[25464.000000]	         Supervisor1	Processing job task33
[25464.000000]	         Supervisor2	Processing job task68
[25512.000000]	       external_load	Send task85 to "Batch1"
[25512.000000]	            SB_batch	Receive "task85" from "Batch1"
[25815.000000]	       external_load	Send task86 to "Batch1"
[25815.000000]	            SB_batch	Receive "task86" from "Batch1"
[26092.000000]	       external_load	Send task87 to "Batch1"
[26092.000000]	            SB_batch	Receive "task87" from "Batch1"
[26204.000000]	    Resource manager	Attach Supervisor2
[26204.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[26204.000000]	            SB_batch	task68 done
[26204.000000]	    Resource manager	Detach Supervisor0
[26204.000000]	         Supervisor0	Processing job task87
[26374.000000]	       external_load	Send task88 to "Batch1"
[26374.000000]	            SB_batch	Receive "task88" from "Batch1"
[26419.000000]	    Resource manager	Attach Supervisor1
[26419.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[26419.000000]	            SB_batch	task33 done
[26674.000000]	       external_load	Send task89 to "Batch1"
[26674.000000]	            SB_batch	Receive "task89" from "Batch1"
[26805.000000]	    Resource manager	Attach Supervisor0
[26805.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[26805.000000]	            SB_batch	task87 done
[26805.000000]	    Resource manager	Detach Supervisor2
[26805.000000]	         Supervisor2	Processing job task34
[26968.000000]	       external_load	Send task90 to "Batch1"
[26968.000000]	            SB_batch	Receive "task90" from "Batch1"
[26968.000000]	    Resource manager	Detach Supervisor1
[26968.000000]	         Supervisor1	Processing job task90
[27259.000000]	       external_load	Send task91 to "Batch1"
[27259.000000]	            SB_batch	Receive "task91" from "Batch1"
[27562.000000]	       external_load	Send task92 to "Batch1"
[27562.000000]	            SB_batch	Receive "task92" from "Batch1"
[27833.000000]	    Resource manager	Attach Supervisor1
[27833.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[27833.000000]	            SB_batch	task90 done
[27870.000000]	       external_load	Send task93 to "Batch1"
[27870.000000]	            SB_batch	Receive "task93" from "Batch1"
[27870.000000]	    Resource manager	Detach Supervisor0
[27870.000000]	         Supervisor0	Processing job task93
[28155.000000]	       external_load	Send task94 to "Batch1"
[28155.000000]	            SB_batch	Receive "task94" from "Batch1"
[28423.000000]	    Resource manager	Attach Supervisor2
[28423.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[28423.000000]	            SB_batch	task34 done
[28423.000000]	    Resource manager	Detach Supervisor1
[28423.000000]	         Supervisor1	Processing job task35
[28474.000000]	       external_load	Send task95 to "Batch1"
[28474.000000]	            SB_batch	Receive "task95" from "Batch1"
[28777.000000]	       external_load	Send task96 to "Batch1"
[28777.000000]	            SB_batch	Receive "task96" from "Batch1"
[29073.000000]	       external_load	Send task97 to "Batch1"
[29073.000000]	            SB_batch	Receive "task97" from "Batch1"
[29365.000000]	       external_load	Send task98 to "Batch1"
[29365.000000]	            SB_batch	Receive "task98" from "Batch1"
[29480.000000]	    Resource manager	Attach Supervisor0
[29480.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[29480.000000]	            SB_batch	task93 done
[29496.000000]	    Resource manager	Attach Supervisor1
[29496.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[29496.000000]	            SB_batch	task35 done
[29496.000000]	    Resource manager	Detach Supervisor2
[29496.000000]	    Resource manager	Detach Supervisor0
[29496.000000]	         Supervisor2	Processing job task37
[29496.000000]	         Supervisor0	Processing job task39
[29671.000000]	       external_load	Send task99 to "Batch1"
[29671.000000]	            SB_batch	Receive "task99" from "Batch1"
[29960.000000]	       external_load	Send task100 to "Batch1"
[29960.000000]	            SB_batch	Receive "task100" from "Batch1"
[30485.000000]	    Resource manager	Attach Supervisor2
[30485.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[30485.000000]	            SB_batch	task37 done
[30485.000000]	    Resource manager	Detach Supervisor1
[30485.000000]	         Supervisor1	Processing job task45
[31280.000000]	    Resource manager	Attach Supervisor0
[31280.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[31280.000000]	            SB_batch	task39 done
[31280.000000]	    Resource manager	Detach Supervisor2
[31280.000000]	         Supervisor2	Processing job task52
[32141.000000]	    Resource manager	Attach Supervisor1
[32141.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[32141.000000]	            SB_batch	task45 done
[32223.000000]	    Resource manager	Attach Supervisor2
[32223.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[32223.000000]	            SB_batch	task52 done
[32223.000000]	    Resource manager	Detach Supervisor0
[32223.000000]	    Resource manager	Detach Supervisor1
[32223.000000]	         Supervisor0	Processing job task41
[32223.000000]	         Supervisor1	Processing job task81
[33303.000000]	    Resource manager	Attach Supervisor0
[33303.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[33303.000000]	            SB_batch	task41 done
[33303.000000]	    Resource manager	Detach Supervisor2
[33303.000000]	         Supervisor2	Processing job task42
[33947.000000]	    Resource manager	Attach Supervisor1
[33947.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[33947.000000]	            SB_batch	task81 done
[33947.000000]	    Resource manager	Detach Supervisor0
[33947.000000]	         Supervisor0	Processing job task83
[34808.000000]	    Resource manager	Attach Supervisor2
[34808.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[34808.000000]	            SB_batch	task42 done
[34808.000000]	    Resource manager	Detach Supervisor1
[34808.000000]	         Supervisor1	Processing job task43
[35343.000000]	    Resource manager	Attach Supervisor0
[35343.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[35343.000000]	            SB_batch	task83 done
[35343.000000]	    Resource manager	Detach Supervisor2
[35343.000000]	         Supervisor2	Processing job task95
[36101.000000]	    Resource manager	Attach Supervisor1
[36101.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[36101.000000]	            SB_batch	task43 done
[36158.000000]	    Resource manager	Attach Supervisor2
[36158.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[36158.000000]	            SB_batch	task95 done
[36158.000000]	    Resource manager	Detach Supervisor0
[36158.000000]	         Supervisor0	Processing job task46
[37244.000000]	    Resource manager	Attach Supervisor0
[37244.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[37244.000000]	            SB_batch	task46 done
[37244.000000]	    Resource manager	Detach Supervisor1
[37244.000000]	    Resource manager	Detach Supervisor2
[37244.000000]	         Supervisor1	Processing job task47
[37244.000000]	         Supervisor2	Processing job task97
[38173.000000]	    Resource manager	Attach Supervisor2
[38173.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[38173.000000]	            SB_batch	task97 done
[38173.000000]	    Resource manager	Detach Supervisor0
[38173.000000]	         Supervisor0	Processing job task98
[38506.000000]	    Resource manager	Attach Supervisor1
[38506.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[38506.000000]	            SB_batch	task47 done
[39188.000000]	    Resource manager	Attach Supervisor0
[39188.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[39188.000000]	            SB_batch	task98 done
[39188.000000]	    Resource manager	Detach Supervisor2
[39188.000000]	         Supervisor2	Processing job task48
[40550.000000]	    Resource manager	Attach Supervisor2
[40550.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[40550.000000]	            SB_batch	task48 done
[40550.000000]	    Resource manager	Detach Supervisor1
[40550.000000]	    Resource manager	Detach Supervisor0
[40550.000000]	         Supervisor1	Processing job task50
[40550.000000]	         Supervisor0	Processing job task58
[41842.000000]	    Resource manager	Attach Supervisor0
[41842.000000]	            SB_batch	Receive "ACK" from "Supervisor0" 
[41842.000000]	            SB_batch	task58 done
[41842.000000]	    Resource manager	Detach Supervisor2
[41842.000000]	         Supervisor2	Processing job task96
[42172.000000]	    Resource manager	Attach Supervisor1
[42172.000000]	            SB_batch	Receive "ACK" from "Supervisor1" 
[42172.000000]	            SB_batch	task50 done
[42465.000000]	    Resource manager	Attach Supervisor2
[42465.000000]	            SB_batch	Receive "ACK" from "Supervisor2" 
[42465.000000]	            SB_batch	task96 done
[42465.000000]	    Resource manager	Detach Supervisor0
